station,datetime_utc,HG,HG2,TW,TW2,TA,VB
UBLA2,2026-06-17 22:46,,,,32.18,,
UBLA2,2026-06-17 22:45,17.74,12.11,,,,
UBLA2,2026-06-17 22:30,17.73,12.11,,,,
UBLA2,2026-06-17 22:15,17.74,12.10,,,,
UBLA2,2026-06-17 22:00,17.74,12.10,32.54,,45.68,14.34
UBLA2,2026-06-17 21:46,,,,32.18,,
UBLA2,2026-06-17 21:45,17.72,12.10,,,,
UBLA2,2026-06-17 21:30,17.72,12.10,,,,
UBLA2,2026-06-18 15:46,,,,32.18,,
UBLA2,2026-06-18 15:45,17.46,12.11,,,,
UBLA2,2026-06-18 15:30,17.47,12.11,,,,
UBLA2,2026-06-18 15:15,17.48,12.11,,,,
UBLA2,2026-06-18 15:00,17.51,12.11,32.54,,19.58,13.96
UBLA2,2026-06-18 14:46,,,,32.18,,
UBLA2,2026-06-18 14:45,17.52,12.11,,,,
UBLA2,2026-06-18 17:46,,,,32.18,,
UBLA2,2026-06-18 17:45,17.40,12.11,,,,
UBLA2,2026-06-18 17:30,17.42,12.11,,,,
UBLA2,2026-06-18 17:15,17.42,12.11,,,,
UBLA2,2026-06-18 17:00,17.42,12.11,32.54,,55.40,14.60
UBLA2,2026-06-18 16:46,,,,32.18,,
UBLA2,2026-06-18 16:45,17.43,12.11,,,,
UBLA2,2026-06-18 16:30,17.46,12.10,,,,
UBLA2,2026-06-18 20:46,,,,32.18,,
UBLA2,2026-06-18 20:45,17.12,12.10,,,,
UBLA2,2026-06-18 20:30,17.18,12.10,,,,
UBLA2,2026-06-18 20:15,17.18,12.10,,,,
UBLA2,2026-06-18 20:00,17.15,12.10,33.62,,67.10,14.15
UBLA2,2026-06-18 19:46,,,,32.18,,
UBLA2,2026-06-18 19:45,17.16,12.10,,,,
UBLA2,2026-06-18 19:30,17.22,12.10,,,,
UBLA2,2026-06-18 19:15,17.23,12.10,,,,
UBLA2,2026-06-18 22:46,,,,32.18,,
UBLA2,2026-06-18 22:45,17.10,12.11,,,,
UBLA2,2026-06-18 22:30,17.12,12.10,,,,
UBLA2,2026-06-18 22:15,17.14,12.10,,,,
UBLA2,2026-06-18 22:00,17.14,12.11,33.98,,69.26,14.41
UBLA2,2026-06-18 21:46,,,,32.18,,
UBLA2,2026-06-18 21:45,17.14,12.11,,,,
UBLA2,2026-06-18 21:30,17.10,12.10,,,,
