station,datetime_utc,HG,HG2,TW,TW2,TA,PC,US,UD,VB
IKPA2,2026-06-17 22:45,34.73,32.25,,,,,,,14.55
IKPA2,2026-06-17 22:30,34.73,32.25,,,,,,,14.56
IKPA2,2026-06-17 22:15,34.73,32.25,,,,,,,14.60
IKPA2,2026-06-17 22:00,34.73,32.25,37.76,37.94,58.46,5.45,4.02,193.00,14.59
IKPA2,2026-06-17 21:45,34.73,32.25,,,,,,,14.58
IKPA2,2026-06-17 21:30,34.73,32.25,,,,,,,14.62
IKPA2,2026-06-18 15:45,34.53,32.26,,,,,,,13.88
IKPA2,2026-06-18 15:30,34.56,32.26,,,,,,,13.82
IKPA2,2026-06-18 15:15,34.57,32.26,,,,,,,13.75
IKPA2,2026-06-18 15:00,34.57,32.26,38.84,38.84,52.88,5.45,1.94,241.00,13.70
IKPA2,2026-06-18 14:45,34.50,32.26,,,,,,,13.68
IKPA2,2026-06-18 16:45,34.42,32.26,,,,,,,14.08
IKPA2,2026-06-18 16:30,34.48,32.26,,,,,,,14.05
IKPA2,2026-06-18 16:15,34.50,32.26,,,,,,,14.02
IKPA2,2026-06-18 16:00,34.52,32.26,38.84,38.84,57.74,5.45,2.49,239.00,13.95
IKPA2,2026-06-18 17:45,34.42,32.22,,,,,,,14.14
IKPA2,2026-06-18 17:30,34.43,32.26,,,,,,,14.15
IKPA2,2026-06-18 17:15,34.49,32.26,,,,,,,14.14
IKPA2,2026-06-18 17:00,34.45,32.26,38.66,38.84,57.74,5.45,3.07,240.00,14.10
IKPA2,2026-06-18 20:45,34.26,32.08,,,,,,,14.28
IKPA2,2026-06-18 20:30,34.29,32.11,,,,,,,14.31
IKPA2,2026-06-18 20:15,34.30,32.10,,,,,,,14.34
IKPA2,2026-06-18 20:00,34.30,32.12,39.02,39.02,67.46,5.45,0.93,245.00,14.34
IKPA2,2026-06-18 19:45,34.34,32.16,,,,,,,14.38
IKPA2,2026-06-18 19:30,34.32,32.15,,,,,,,14.38
IKPA2,2026-06-18 19:15,34.35,32.16,,,,,,,14.27
